,Size,SizeStdev,Time,TimeStdev,Workload,CPU,Method_GET,Method_POST,URL_/wp-profiling/index.php,URL_/wp-profiling/index.php/2020/11/,URL_/wp-profiling/index.php/2020/11/25/hello-world/,URL_/wp-profiling/index.php/2021/01/04/nulla-iure-corrupti-nihil-mollitia/,URL_/wp-profiling/index.php/cart/,URL_/wp-profiling/index.php/category/uncategorized/,URL_/wp-profiling/index.php/checkout/,URL_/wp-profiling/index.php/my-account/,URL_/wp-profiling/index.php/my-account/lost-password/,URL_/wp-profiling/index.php/product/testproduct01/,URL_/wp-profiling/index.php/sample-page/,URL_/wp-profiling/index.php/shop/,URL_/wp-profiling/wp-content/plugins/woocommerce/assets/images/placeholder.png,Query_,Query_?wc-ajax=add_to_cart,Query_?wc-ajax=get_refreshed_fragments
0,428.0,2.016877936358443,109187.23333333334,107896.30323026916,0.1,0.05,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,532.0,0.0,76500.7,9455.721211905951,0.1,0.05,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,433.0,0.0,66481.0,25020.857708774867,0.1,0.05,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
3,418.0,0.0,88596.4,10248.962788900926,0.1,0.05,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
4,322.0,0.0,89278.5,18764.54332851152,0.1,0.05,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,416.0,0.0,90786.86666666667,19654.316252694203,0.1,0.05,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
6,394.0,0.0,84083.66666666667,9135.896801508656,0.1,0.05,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
7,426.0,0.0,107194.33333333333,33412.3586936221,0.1,0.05,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
8,705.0,0.0,86935.16666666667,8609.854094175378,0.1,0.05,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
9,353.0,0.0,383.96666666666664,51.14110522542665,0.1,0.05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
10,419.0,0.0,90393.13333333333,18864.432385390992,0.1,0.05,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11,435.0,0.0,90759.9,22369.975700740582,0.1,0.05,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
12,435.0,0.0,257032.13333333333,12531.490322613154,0.1,0.05,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
13,412.0,0.0,93130.4,18159.067894580934,0.1,0.05,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
14,401.0,0.0,264355.73333333334,11640.859643376069,0.1,0.05,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
15,485.44736842105266,21.251006168129894,68008.94736842105,40017.32671416853,0.1,0.05,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,676.0,0.0,97233.36666666667,29347.10269960085,0.1,0.05,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
